repair_id,customer_id,customer_name,customer_email,customer_age,customer_country,phone_model,repair_type,repair_center,repair_start_date,repair_end_date,repair_cost,repair_status,parts_used,repair_duration_days,turnaround_time_days
b618096b-3c5f-4442-a8ed-2c451367f1e8,75060311-e271-4a19-bb23-51d18aaa8d7c,Brittany Jones,kristopher97@example.org,26,New Caledonia,Model B,Motherboard Replacement,Center C,2024-01-11,2024-11-13,157.60685258024756,In Progress,4,3,3
44928663-451d-4c8f-b7b7-5c06667f3c2f,f30193a4-6797-4812-9d52-de49f8cab24b,Brandon Parrish,rachelwilkerson@example.net,29,Indonesia,Model D,Camera Repair,Center A,2024-08-11,2024-09-10,129.23664694777983,In Progress,1,6,6
ee4f8443-ecd8-43e7-baf8-fe2ae6be928a,ff90b733-0b6f-4717-9f6c-eb57e2dc724b,Walter Villegas,johnsonfrederick@example.org,28,Oman,Model A,Vibration Motor Repair,Center C,2024-02-05,2024-01-27,158.64899021467795,Completed,3,2,2
a445a766-d3cc-499d-bc3b-e6f902859a3c,b7907607-a8a8-4519-ad79-acd5b780989b,Sierra Hernandez,qwillis@example.org,63,Lao People's Democratic Republic,Model D,Vibration Motor Repair,Center A,2024-10-31,2024-08-10,243.4699139325391,In Progress,2,6,6
5f55deb8-a609-4368-8506-99d703716d2c,0f3da35f-de72-4452-887b-b300fb6feddd,Deborah Doyle,kramirez@example.org,33,Puerto Rico,Model D,Water Damage Repair,Center C,2024-04-18,2024-11-11,200.48085775378289,In Progress,3,3,3
2c5c267c-670a-462d-9cb3-a30590255a24,e09e7090-9eab-48a5-9241-364fc8697244,Randall Lewis,michaelperry@example.net,18,American Samoa,Model B,Fingerprint Sensor Repair,Center B,2024-07-05,2024-10-12,273.1308224887115,Pending,2,16,16
31733ce4-e702-4ecd-9b74-54463c6d4a48,89ce6a9d-7cf5-4471-b8df-5ae596fe2f9a,David Barker,michelle85@example.org,62,Hungary,Model B,Proximity Sensor Repair,Center B,2024-06-17,2024-09-10,160.84500359479694,Pending,1,8,8
0c21cde8-dad8-4873-9159-f5d3521f3458,94a27a0a-dc2a-42f2-8332-d9a0a6e1e579,Jacob Whitehead,hansonmadison@example.com,38,Mongolia,Model A,Charging Port Repair,Center A,2024-02-28,2024-11-08,201.77239467968852,Cancelled,3,2,2
3a3c031a-3f4f-4611-ab44-cdeef56ea178,653a9409-d1e7-4d45-bc3e-6ab40a68767e,Mario Taylor,sarah87@example.net,47,Jersey,Model A,Button Repair,Center D,2024-06-04,2024-02-05,207.82688827299717,Pending,3,17,17
420e5fd3-2305-46fa-88b0-30ef536dcb1f,a40ed51a-7d48-43c5-af5c-d234b7bb8203,Richard Russell,romerojonathan@example.com,30,Timor-Leste,Model C,Camera Repair,Center C,2024-04-27,2024-04-27,197.92429057658137,Pending,1,9,9
af3cfe40-7a1e-45ef-8224-0e927aecf657,f45a3b4e-2aeb-4109-9230-fb15dbd1f8e3,Michael Pugh,dannyrobinson@example.org,51,Equatorial Guinea,Model D,Display Replacement,Center D,2024-07-28,2024-06-11,225.65844327137907,Pending,3,12,12
76dcf7e7-a07a-46e5-86f5-917c66cfa786,44a0c380-3212-4ee2-8c8f-e5b404cb5f30,Judith Chen,ericathomas@example.org,21,Kuwait,Model B,Motherboard Replacement,Center D,2024-01-23,2024-11-19,109.35836709370156,Pending,4,3,3
b20e9390-994d-4f0a-b683-9c17ae1fb722,108e5219-9b11-48bf-a42e-d0e2798355c7,Kathleen King,flozano@example.net,45,Cuba,Model A,Earpiece Replacement,Center D,2024-05-17,2024-09-25,178.09094438644766,Cancelled,2,11,11
68264e84-f560-46ef-bc34-e7a223c48292,91ca9dfd-0996-48bc-9676-02f8d026d1fd,Scott Bradley,porterkristen@example.net,55,American Samoa,Model C,Screen Replacement,Center B,2024-01-23,2024-09-25,76.05620070208693,Pending,2,1,1
9669f1e2-8f86-47dd-9652-c01b61af39a6,8fed5c56-1b31-4079-ad58-318fa56c16c1,Jennifer Shea,jeremy25@example.com,48,Macao,Model C,Speaker Replacement,Center A,2024-07-03,2024-06-09,146.12783191120315,Completed,2,13,13
3bcd27da-62ca-4f5a-ba22-421411538ada,189b127f-b349-4368-ad77-b8154ad2da40,Alison Peterson,julie55@example.net,44,Dominica,Model B,Battery Replacement,Center A,2024-03-03,2024-11-04,171.9167671553161,Completed,4,15,15
61d6600e-6c16-4933-baf5-4ebb208ac36d,7b3c4024-025e-482f-9eee-b0008f9288ca,Philip Spencer,nicolebowen@example.net,22,Algeria,Model B,Vibration Motor Repair,Center B,2024-10-31,2024-01-15,213.05606488636812,Completed,2,5,5
ceb2b151-80f9-4962-91a1-2588edd4c462,5d4d244a-0b40-499d-a10c-075dda665cf6,Teresa Morgan,sarahsandoval@example.net,42,United States Virgin Islands,Model C,Speaker Replacement,Center B,2024-02-07,2024-07-11,287.6327631465509,Completed,1,17,17
5a6d2a77-1414-4559-ade9-6d727cd3aa37,6b1e4695-8ed6-47c1-b64a-64f984aad3fe,Jo Lewis,kristengomez@example.org,20,Mexico,Model A,Vibration Motor Repair,Center A,2024-07-13,2024-01-01,200.16276663708896,Pending,3,6,6
d0117a79-b285-4ffc-ba99-ac4f9417f986,e37c0697-c7b0-4fc9-bac4-516b23c5eb97,James Decker,curtisjoanna@example.com,50,Gambia,Model C,Water Damage Repair,Center D,2024-08-02,2024-11-12,235.89847904413995,Completed,4,11,11
71e4a796-a25c-4c5f-a875-9ad1529339b7,084fd12f-b0fd-405c-9694-415496ba1375,Nicole Smith,psteele@example.net,21,Netherlands,Model D,Microphone Repair,Center C,2024-02-18,2024-08-07,176.56651487380068,Pending,2,18,18
b6192b16-2942-40c4-99d2-8cd5c5f9f8e8,8ee135ae-5b12-46a5-975f-afe88913f940,Michelle Brown,renee83@example.net,42,Bouvet Island (Bouvetoya),Model D,Camera Repair,Center C,2024-02-09,2024-04-01,208.52600784408284,Cancelled,1,4,4
53b38075-ae1e-41a4-8e20-ccd148f47649,5d3546ba-dcb1-4d06-9110-b8a1221d6ac8,Jacob Nelson,alexhayes@example.org,37,Morocco,Model B,Vibration Motor Repair,Center C,2024-08-03,2024-06-06,67.73305403344335,Completed,3,3,3
dbef7de2-3a29-4204-8a79-74242f9768f0,7be6d99f-ae0e-4a61-9508-63be7cf20584,Mary Gray,john01@example.com,51,Sierra Leone,Model A,Proximity Sensor Repair,Center D,2024-09-09,2024-01-18,113.59789521046174,In Progress,3,13,13
20c70ec2-bca5-4fff-baa0-b70c5dd8a215,1d9ed159-f099-4cf7-bcdb-6befabfa4889,Larry Ford,gterry@example.org,43,Netherlands,Model A,Microphone Repair,Center A,2024-04-06,2024-08-28,140.4632733012847,Completed,4,9,9
0dc88806-fd85-49bd-983d-cfafe6654c21,c4260401-5e93-481c-bea3-069d44931bf4,Henry Dennis,johnsonrobert@example.com,22,Fiji,Model D,Vibration Motor Repair,Center B,2024-05-11,2024-03-01,168.1233387516284,Completed,4,6,6
6e76582e-2269-42d5-9cd4-d63197c26c18,0701b763-c7eb-4c55-9297-cb5a214ec9b3,James Campos,gonzalezchristopher@example.org,52,Greece,Model C,Speaker Replacement,Center A,2024-09-17,2024-01-24,61.41218637559594,Pending,4,12,12
d756e3af-6610-48af-9c10-6a4d5ee7f2d4,7f1fe334-9bb5-42b2-8080-c3e8eb53e8ca,Randy Mooney,andrewmcdaniel@example.org,45,France,Model B,Headphone Jack Repair,Center D,2024-01-07,2024-01-17,85.00602438832942,Completed,1,2,2
721aee54-70db-427c-9db4-fe2b52773034,c1ba9531-7297-4981-ac59-d7e6b377bd62,Annette Medina,amyhorne@example.net,46,Sudan,Model C,Vibration Motor Repair,Center B,2024-01-26,2024-11-09,119.20357694782645,In Progress,1,3,3
cf4513dd-fcc8-4956-96c1-bda5068b3606,6e9e7c09-c72e-442d-bc76-f87fa8124679,Philip Smith,patty55@example.org,26,Norfolk Island,Model C,Camera Repair,Center D,2024-10-24,2024-05-18,292.8831727252626,Pending,4,3,3
37cb0f42-0f9f-440b-89ca-117805d90432,9f1a9899-e965-4d79-a13c-2750a22d7a04,Amber Moore,henryjason@example.net,69,South Georgia and the South Sandwich Islands,Model C,Antenna Replacement,Center C,2024-06-02,2024-11-23,132.8367517757627,Pending,2,12,12
16ee7895-4888-49aa-bbd2-890da49020cf,a836948b-578e-44cc-af6a-54f8ad67ca75,Morgan Kelley,vkemp@example.com,55,Nicaragua,Model A,Button Repair,Center C,2024-03-17,2024-10-31,170.51026452802063,Cancelled,3,15,15
6295a972-6efa-4723-92b7-f925daa3d6fe,4575758f-b2de-4031-9dd8-46ec2c7edd0a,Jared Grimes,saramaxwell@example.net,67,Fiji,Model D,Display Replacement,Center D,2024-04-11,2024-03-21,99.02442818459824,Cancelled,3,9,9
707e87e9-285d-4f63-8367-d2cf10695682,4d4da784-a2b4-4412-b239-2b68f2f6aa14,John Johnson,fmoreno@example.com,23,Sierra Leone,Model A,Charging Port Repair,Center B,2024-04-18,2024-04-21,202.69501776894205,Completed,1,8,8
a9389545-0a2f-485f-852e-f53bd3a3d49d,987486b4-beb5-4b24-87fd-6cef259a4123,Amber Rivera,teresa72@example.org,36,Turkey,Model D,Vibration Motor Repair,Center B,2024-07-06,2024-07-18,120.17080387899358,Cancelled,3,11,11
761dd8db-c873-42ae-a2f1-76828ac0d044,1f62d5c4-660d-4160-8790-a356a56afcf0,Toni Garrison,rcampbell@example.com,61,Mozambique,Model B,Button Repair,Center A,2024-07-29,2024-06-30,101.7481446096067,Cancelled,2,16,16
f5cd9e21-ecf6-43b1-b942-3bcb734a1936,4b6b1227-e73d-48f3-9f8f-e7e162390dba,Evan Moore,danielhudson@example.net,28,Timor-Leste,Model B,Motherboard Replacement,Center C,2024-07-10,2024-11-10,179.14315711149476,Cancelled,3,4,4
3738a48d-7dbc-4ee3-9dc3-ab5e3b094b00,613c39df-c3f1-4de5-ae74-e644dea2b92f,Angela Stanley,susanhart@example.org,19,Turks and Caicos Islands,Model C,Vibration Motor Repair,Center A,2024-07-11,2024-09-23,51.376449790105205,Pending,1,1,1
33c46120-b117-47e1-8f2c-ebf9e8d4fba8,7d20e31d-9feb-4dd0-8fe9-e07a1b8d2a60,Amanda Allen,frank27@example.org,64,Bahrain,Model D,Speaker Replacement,Center A,2024-07-30,2024-04-05,51.91600816230633,Pending,1,7,7
348942bf-6849-4e2c-ac17-6332b38b209c,9cd32db0-1f1d-4335-a8fc-45e2e9ff6877,Nathan Sanchez,paul75@example.org,61,Qatar,Model D,Water Damage Repair,Center D,2024-04-24,2024-01-28,104.76720227546444,Pending,2,2,2
